Comment,Designator,Footprint,LCSC,Quantity
100nF,C4,C_0805_2012Metric,C49678,1
10nF,C5,C_0805_2012Metric,C1710,1
10uF,C3,C_0805_2012Metric,C440198,1
4.7k,"R1,R2,R4,R5",R_0805_2012Metric,C17673,4
470,R3,R_0805_2012Metric,C17710,1
47uF,"C1,C6",CP_Elec_6.3x5.4,C7469965,2
ADG419BR,U3,SOIC-8_3.9x4.9mm_P1.27mm,C579051,1
AMS1117-5.0,U2,SOT-223-3_TabPin2,C6187,1
LED,D1,LED_0805_2012Metric,C2296,1
